month,date_of_month,births,month_name
1,1,7848.6,January
1,2,9437.04,January
1,3,11023.76,January
1,4,11131.72,January
1,5,10864.72,January
1,6,10791.2,January
1,7,10961.16,January
1,8,10715,January
1,9,10687.04,January
1,10,11228.8,January
1,11,11050.96,January
1,12,10825.32,January
1,13,10495.12,January
1,14,10997.44,January
1,15,10617.2,January
1,16,10687.56,January
1,17,11064.68,January
1,18,10969.12,January
1,19,10607.24,January
1,20,10684.32,January
1,21,10812.72,January
1,22,10755.56,January
1,23,10916.52,January
1,24,11215.04,January
1,25,11022.96,January
1,26,10718.44,January
1,27,10696.24,January
1,28,10847.24,January
1,29,10661.96,January
1,30,10818.92,January
1,31,11050.6,January
2,1,11015.6,February
2,2,10862.72,February
2,3,10693.92,February
2,4,10909.28,February
2,5,10772.96,February
2,6,10865.24,February
2,7,11315.84,February
2,8,11144.24,February
2,9,10783.84,February
2,10,10891.32,February
2,11,11031.84,February
2,12,10989.84,February
2,13,10692.12,February
2,14,11832.56,February
2,15,11279.4,February
2,16,10845.6,February
2,17,10689.88,February
2,18,10929.92,February
2,19,10736.04,February
2,20,10971.44,February
2,21,11173.88,February
2,22,11201.24,February
2,23,10812.68,February
2,24,10776.92,February
2,25,10995.04,February
2,26,10818.6,February
2,27,10925.68,February
2,28,11227.44,February
2,29,10701,February
3,1,11195.16,March
3,2,10711.88,March
3,3,10970.96,March
3,4,10886.24,March
3,5,10994.72,March
3,6,11121.28,March
3,7,11305.4,March
3,8,11046.8,March
3,9,10685.12,March
3,10,10800.24,March
3,11,10808.44,March
3,12,11031.64,March
3,13,10871.92,March
3,14,11367.92,March
3,15,11090.52,March
3,16,10691.88,March
3,17,10997.64,March
3,18,10833,March
3,19,10943.32,March
3,20,11234.6,March
3,21,11413.68,March
3,22,11031.84,March
3,23,10653.72,March
3,24,10783.2,March
3,25,10879.08,March
3,26,10925.96,March
3,27,11112.68,March
3,28,11280.6,March
3,29,10916.28,March
3,30,10595.24,March
3,31,10620.24,March
4,1,10166.44,April
4,2,11047.4,April
4,3,11124.24,April
4,4,11439.28,April
4,5,10959.52,April
4,6,10543.08,April
4,7,10714.6,April
4,8,10795.32,April
4,9,10877.92,April
4,10,11072.8,April
4,11,11305.32,April
4,12,11043.16,April
4,13,10265.36,April
4,14,10669.4,April
4,15,10764.92,April
4,16,10958.56,April
4,17,11140.84,April
4,18,11216.52,April
4,19,10958.96,April
4,20,10598.64,April
4,21,10640.72,April
4,22,10752.6,April
4,23,10894.68,April
4,24,11074.16,April
4,25,11234.32,April
4,26,10943.6,April
4,27,10568.76,April
4,28,10663.44,April
4,29,10633.16,April
4,30,10774.84,April
5,1,11228.76,May
5,2,11351.96,May
5,3,10977.6,May
5,4,10621.32,May
5,5,10932.24,May
5,6,10851.16,May
5,7,10978.24,May
5,8,11197.08,May
5,9,11280,May
5,10,11151,May
5,11,10650.36,May
5,12,10870.36,May
5,13,10597.8,May
5,14,11096.6,May
5,15,11391.52,May
5,16,11516.92,May
5,17,11193.2,May
5,18,10796.44,May
5,19,10858.08,May
5,20,11059.2,May
5,21,11288.08,May
5,22,11509.76,May
5,23,11774.2,May
5,24,11443.84,May
5,25,10772.72,May
5,26,10210.52,May
5,27,10449.4,May
5,28,10744.44,May
5,29,10945.2,May
5,30,11215.72,May
5,31,10900.36,May
6,1,11067.08,June
6,2,11182.76,June
6,3,11109.04,June
6,4,11224.04,June
6,5,11371.56,June
6,6,11488.84,June
6,7,11214.04,June
6,8,10913.88,June
6,9,10936.44,June
6,10,11106.76,June
6,11,11204.36,June
6,12,11441.44,June
6,13,11253.92,June
6,14,11352.72,June
6,15,10968.52,June
6,16,11125.56,June
6,17,11134,June
6,18,11370.56,June
6,19,11387.72,June
6,20,11712,June
6,21,11348.44,June
6,22,11010.4,June
6,23,11082.92,June
6,24,11207,June
6,25,11447.16,June
6,26,11618.44,June
6,27,11829.36,June
6,28,11625.52,June
6,29,11258.92,June
6,30,11402.2,June
7,1,11723.76,July
7,2,11875.84,July
7,3,11567.96,July
7,4,8914.76,July
7,5,10518.64,July
7,6,11396.6,July
7,7,11927.24,July
7,8,11794.36,July
7,9,11803.36,July
7,10,11975.68,July
7,11,12024.16,July
7,12,11622.16,July
7,13,11072.52,July
7,14,11517.72,July
7,15,11623.52,July
7,16,11800.8,July
7,17,11956.92,July
7,18,12029.6,July
7,19,11622.4,July
7,20,11318.76,July
7,21,11509.8,July
7,22,11558.36,July
7,23,11724.16,July
7,24,11848.44,July
7,25,11984.32,July
7,26,11642.12,July
7,27,11294.04,July
7,28,11449.12,July
7,29,11471.16,July
7,30,11653.16,July
7,31,11746.6,July
8,1,12003.6,August
8,2,11645.04,August
8,3,11229.04,August
8,4,11403.6,August
8,5,11488.2,August
8,6,11617.64,August
8,7,11812,August
8,8,12184.6,August
8,9,11790.88,August
8,10,11375.32,August
8,11,11441.28,August
8,12,11624.24,August
8,13,11504.76,August
8,14,11899.04,August
8,15,12152.32,August
8,16,11861.32,August
8,17,11447.84,August
8,18,11523.28,August
8,19,11509,August
8,20,11805.68,August
8,21,11879.6,August
8,22,12063.64,August
8,23,11728.96,August
8,24,11341.16,August
8,25,11433.6,August
8,26,11506.24,August
8,27,11777.96,August
8,28,12092.36,August
8,29,12160.16,August
8,30,11883.04,August
8,31,11455.72,August
9,1,10721.24,September
9,2,10779.32,September
9,3,11075.92,September
9,4,11391.12,September
9,5,11769.28,September
9,6,11523.36,September
9,7,11365.12,September
9,8,11817.24,September
9,9,12130.52,September
9,10,12164.96,September
9,11,11736.68,September
9,12,12463.88,September
9,13,11876.12,September
9,14,11783.92,September
9,15,11941.76,September
9,16,11952.52,September
9,17,12188.96,September
9,18,12290.52,September
9,19,12468.12,September
9,20,12207.52,September
9,21,11715.24,September
9,22,11772.6,September
9,23,11864.28,September
9,24,11999.96,September
9,25,12122.88,September
9,26,12245.84,September
9,27,11928.68,September
9,28,11471.32,September
9,29,11431.32,September
9,30,11371.4,September
10,1,11760.72,October
10,2,11836.48,October
10,3,11911.16,October
10,4,11576.96,October
10,5,11181.08,October
10,6,11183.28,October
10,7,11207.12,October
10,8,11348.36,October
10,9,11361.72,October
10,10,11785.56,October
10,11,11331.6,October
10,12,10930.88,October
10,13,10615.36,October
10,14,11035.2,October
10,15,11281.12,October
10,16,11341.96,October
10,17,11524.08,October
10,18,11211.72,October
10,19,10752.6,October
10,20,10922.56,October
10,21,10945.8,October
10,22,11207.48,October
10,23,11285.76,October
10,24,11508.08,October
10,25,11249.04,October
10,26,10832.12,October
10,27,10884.08,October
10,28,11002.8,October
10,29,11061.92,October
10,30,11043.64,October
10,31,10146.92,October
11,1,11409.36,November
11,2,10976.48,November
11,3,10995.44,November
11,4,11018.04,November
11,5,11226.84,November
11,6,11305.2,November
11,7,11515.68,November
11,8,11252.68,November
11,9,10829.92,November
11,10,10914.16,November
11,11,11022.04,November
11,12,11110.52,November
11,13,10958.96,November
11,14,11468.2,November
11,15,11291,November
11,16,10930.96,November
11,17,10985.88,November
11,18,11055.4,November
11,19,11309.68,November
11,20,11696.48,November
11,21,11792.92,November
11,22,10619.4,November
11,23,9649.52,November
11,24,9956.04,November
11,25,10049.12,November
11,26,10242.28,November
11,27,9935.76,November
11,28,10205.48,November
11,29,10760.88,November
11,30,10731.56,November
12,1,11067.04,December
12,2,11060.52,December
12,3,11198.56,December
12,4,11201.2,December
12,5,11365.76,December
12,6,11001.24,December
12,7,10638.56,December
12,8,10748.4,December
12,9,10748.92,December
12,10,11010.12,December
12,11,11131.32,December
12,12,11683.36,December
12,13,10905.96,December
12,14,10837.04,December
12,15,11045,December
12,16,11240.08,December
12,17,11537.08,December
12,18,11955.04,December
12,19,12209.04,December
12,20,12111.52,December
12,21,11562.92,December
12,22,11252.84,December
12,23,10286.4,December
12,24,8097.6,December
12,25,6595.76,December
12,26,9740.12,December
12,27,11792.48,December
12,28,11758.76,December
12,29,11815.84,December
12,30,11791.08,December
12,31,10462.12,December
